dataset_id,isolate_id,antibiotic,raw_read_prediction,support_assembly_prediction,raw_read_callable,support_assembly_callable,both_callable,concordant_when_both_callable,interpretation
ZENODO_10369064,S01,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S34,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S35,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S35,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S36,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S36,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S37,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S37,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S39,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S39,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S41,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S41,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S42,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S42,levofloxacin,R,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S43,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S43,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S45,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S45,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S46,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S46,levofloxacin,UNCALLABLE,S,no,yes,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S47,clarithromycin,S,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S47,levofloxacin,R,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S48,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S48,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S49,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S49,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S50,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S50,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S52,clarithromycin,R,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S52,levofloxacin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S54,clarithromycin,S,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S54,levofloxacin,UNCALLABLE,UNCALLABLE,no,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S55,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S55,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S56,clarithromycin,R,R,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S56,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S57,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S57,levofloxacin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S58,clarithromycin,S,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S58,levofloxacin,S,UNCALLABLE,yes,no,no,,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S64,clarithromycin,S,S,yes,yes,yes,yes,raw-read call is authoritative; assembly is support-only
ZENODO_10369064,S64,levofloxacin,UNCALLABLE,S,no,yes,no,,raw-read call is authoritative; assembly is support-only
